상품명,가격,rating,rating_num
"에이지투웨니스 에센스 커버 팩트 시즌9 TX 리필 12.5g, 21호",11150,4.5,357
"오뚜기 진라면 매운맛 소컵 6p + 참깨라면 소컵 6p + 진짬뽕 소컵 6p 세트, 1세트",12900,5.0,893
"아토세이프 덴티 본조르노 치약, 80g, 3개입",4350,4.5,603
"제이앤제이 더 착한솜 면봉, 100개입, 20개",3000,4.5,3087
인블룸 냉장고걸이 수납 선반,15900,4.0,180
"롯데제과 빼빼로 기획 HUG팩, 아몬드 32g x 5p + 빼빼로 46g, 1세트",4050,4.5,2026
"브라운 오리지널 플러스 아기물티슈 캡형, 80매, 10팩",12810,4.5,151
"아모스 초강력 물풀, 1.2L",6180,4.5,78
"오리온 꼬북칩 콘스프맛, 80g, 12개",10900,4.5,3435
"리벤스 다용도 분리수거함 3종세트, 그레이, 핑크, 민트, 1세트",5900,4.0,914
"프릴 시크릿 오브 베이킹소다 주방세제 와일드베리향, 750ml",3900,4.5,942
"올가홀푸드 한입에 쏙 우리밀 꼬마약과, 200g",4700,4.5,1445
"토니모리 립톤 겟잇틴트 9.5g, 4호 레드핫",2800,4.5,364
"오리온 포카칩 오리지널, 38g, 4개입",2790,4.5,1214
"착한습관 히비스커스 파우더, 200g",7200,4.0,182
"카카오프렌즈 리틀프렌즈 인덱스파일, 리틀 어피치, 2개입",4000,5.0,4
"벨라지오 소중한 내 피부 천연펄프 미용티슈 2겹 280매, 6개입",7450,4.5,12468
"하리보 골드베렌 젤리, 980g",9900,4.5,30293
"오랄비 스테이지스 디즈니 어린이칫솔 2단계 6개입, 랜덤 발송",11150,4.5,703
"베베숲 저자극 센시티브 엠보싱 물티슈 캡형, 80매, 10팩",18130,5.0,34890
"다우니 초고농축 섬유유연제 베리베리와 바닐라크림 본품, 1L, 3개",9930,4.5,17970
"테라오카 계란에 뿌리는 간장소스, 150ml",5030,4.5,430
"투에스 에칭 300 전신거울, 화이트",16540,4.5,10232
"노브랜드 천연펄프 화장지 3겹 30m, 30롤",9500,4.5,516
"클리오 덴티메이트 초극세모 칫솔, 10개입",3400,4.5,8923
"매일유업 소화가 잘되는 우유, 190ml, 24개",13070,4.5,3492
"청정원 황태로 맛을 낸 만능육수 티백, 64g",5580,4.5,486
"프리즘 HD LED 32인치 TV 자가설치, PT320HD",149900,4.5,4186
"농심 신라면 15p + 짜파게티 5p, 20개입",15500,4.5,6705
"릴리바이레드 앙큼 라이어 코팅 틴트 4g, 시니컬한 앵두인척",5060,4.5,405
"릴리유 도톰한 유아물티슈 캡형, 80매, 10팩",12890,4.0,2165
"뉴빅뱅 요구르트 사사미, 치킨스틱껌",3730,4.5,1718
"베베랑 유아물티슈 캡형, 100매, 10팩",9900,4.5,300
"카누 콜롬비아 블렌드 마일드 로스트 아메리카노 미니, 0.9g, 100개",15810,4.5,12947
"깨끗한나라 데일리 키친타올, 8롤, 1팩",5200,4.5,30517
강남패드 한번 쏴 강아지 배변패드 레몬향 100매,5400,4.0,533
샤바스 스칸디나 안전 라탄욕실화 스타,5190,4.5,6384
